발생년도,구분,학교급,학교수,학생수,행동-일반학습,행동-실험·실습,행동-구기,행동-라켓 스포츠,행동-타겟형 스포츠,"행동-바퀴달린 
무동력스포츠",행동-육상,행동-무도,행동-수중,행동-설상·빙상,행동-체조·무용·매트운동,행동-기타 스포츠활동,행동-식사,행동-휴식,"행동-장난, 놀이",행동-씻기,행동-수면,행동-기타 일상활동,"행동-걷기/뛰기,
 오르내리기","행동-(교통수단 등) 운전, 조작, 탑승 중",행동-싸움,행동-기타,활동-이론수업,활동-실험/실습,활동-체육,활동-자유놀이활동시간,활동-대소집단활동시간,활동-창의적 체험,활동-특별활동시간,활동-등·하교,활동-학교체류,활동-그 밖의 교육활동 시간,장소-교수학습 및 학습지원공간,장소-관리·행정공간,장소-체육·집회공간,장소-보건·위생공간,장소-공용공간,장소-기타 교내,장소-문화·체육공간,장소-교통구역(스쿨존 내),장소-교통구역(스쿨존 외),장소-자연,장소-기타 교외,"형태-부딪힘
(교통사고 포함)",형태-끼임·눌림,형태-낙상,형태-스스로 신체에 충격을 가함(염좌·삐임),형태-긁힘·베임·절단·찔림,형태-물림·쏘임,"형태-열, 전기에 의한 손상",형태-냉에 의한 손상,형태-화학물질 노출,형태-호흡 곤란,"형태-식중독 및 이물질 섭취, 접촉",형태-그 밖의 손상 사고
2024,서울,유치원,754,"61,128",244,3,37,1,2,4,41,1,4,1,4,44,32,11,306,17,1,184,144,9,1,131,0,0,1,365,468,14,46,43,226,59,612,4,303,40,104,21,95,12,2,14,15,551,53,228,95,159,13,21,0,4,0,7,91
2024,서울,초등학교,609,"363,157",973,159,3708,197,49,6,792,54,41,45,187,590,258,586,1622,104,0,442,2200,20,8,280,278,499,4643,0,0,405,337,901,4929,329,2892,2,6348,211,2184,294,224,101,22,19,24,5198,410,3037,2425,717,13,111,0,20,16,42,332
2024,서울,중학교,390,"195,738",353,132,7304,382,44,60,384,70,5,47,96,380,114,382,1122,7,2,253,1357,62,16,223,167,263,5323,0,0,926,830,370,4477,439,1368,14,9043,68,1479,156,441,82,68,12,64,6077,217,2509,3130,418,3,68,0,15,22,6,330
2024,서울,고등학교,318,"207,311",209,150,3899,203,25,20,248,111,9,5,59,189,63,117,197,18,1,83,730,84,1,126,64,141,2754,0,0,255,833,319,1917,264,472,2,4802,46,593,119,260,84,86,10,73,2456,83,1374,2095,194,3,62,1,18,18,15,228
2024,서울,특수학교,32,"4,510",21,4,7,0,2,2,7,0,0,0,3,11,6,10,7,1,0,13,37,7,0,18,17,15,22,0,0,13,10,20,51,8,56,0,37,7,36,9,1,6,3,0,1,42,5,60,19,11,2,1,0,0,1,1,14
2024,부산,유치원,375,"32,814",92,0,7,0,1,1,23,1,1,0,7,23,30,9,231,12,0,91,94,3,0,69,0,0,0,187,250,9,31,34,157,27,322,0,215,10,70,8,41,2,4,16,7,289,24,155,62,89,12,12,0,1,1,1,49
2024,부산,초등학교,305,"146,511",300,45,1215,61,12,3,175,11,8,9,43,168,78,247,887,30,1,180,849,6,0,98,95,125,1199,0,0,130,136,324,2267,150,875,3,2296,71,937,78,86,49,9,3,19,1936,122,1194,761,242,4,35,0,12,1,5,114
2024,부산,중학교,170,"75,593",121,42,2072,99,9,1,151,34,0,4,28,105,29,118,381,2,0,72,513,8,0,72,52,86,1628,0,0,222,168,149,1396,160,459,6,2647,29,500,53,86,36,16,2,27,1781,65,848,891,137,8,21,0,11,1,2,96
2024,부산,고등학교,142,"71,440",68,85,1300,82,5,5,86,16,0,2,15,66,13,47,56,4,1,28,287,6,0,43,11,69,814,0,0,73,237,119,800,92,180,8,1624,11,185,63,73,31,14,6,20,792,23,504,696,84,3,46,0,2,0,1,64
2024,부산,특수학교,15,"2,063",6,4,0,1,0,1,3,1,0,0,1,6,3,6,1,0,0,4,13,6,0,3,4,5,10,0,0,0,6,9,21,4,21,0,13,1,13,4,2,2,3,0,0,19,1,16,12,4,1,1,0,0,0,0,5
